ReportDate,ReportLevel,ReportLevelIdentifier,Description,18.2.1,18.2.2,18.2.3,18.3.1,18.3.2,18.3.3,,,
2018-03-31,LME,LMEC_1,AverageInQuarter,,48.80%,66.62%,,39.84%,63.53%,,,
2018-03-31,LME,LMEC_1,PeakInQuarter,,49.28%,66.85%,,42.02%,64.84%,,,
2018-03-31,LPM,LMEC_1,AverageInQuarter,,,,,,,,,
2018-03-31,LPM,LMEC_1,PeakInQuarter,,,,,,,,,
