ReportDate,ReportLevel,ReportLevelIdentifier,Description,16.2.8,16.2.15
2017-09-30,CCP,LMEC_1,Percentage_USD,95.07%,3.96%
2017-09-30,CCP,LMEC_1,Percentage_EUR,1.58%,0.00%
2017-09-30,CCP,LMEC_1,Percentage_GBP,3.36%,0.00%
2017-09-30,CCP,LMEC_1,Percentage_JPY,0.00%,0.00%
2017-09-30,CCP,LMEC_1,Percentage_CNH,0.00%,0.00%
