ReportDate,ReportLevel,ReportLevelIdentifier,Description,16_2_8,16_2_15
2017-09-29,CCP,ICEU,Percentage_EUR,21.06%,9.79%
2017-09-29,CCP,ICEU,Percentage_GBP,25.57%,6.45%
2017-09-29,CCP,ICEU,Percentage_USD,31.62%,5.52%
