ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,23_1_1,23_1_2,23_2_1,23_2_2,23_2_3,23_2_4
2017-09-29,DefaultFund,ICEU_F&O,Derivatives,USD,"ADV, OI and volume data is already produced for ICEU F&O contracts and can be found here: https://www.theice.com/marketdata/reports/176 .  Additionally we will provide a link to our product specifications https://www.theice.com/products",NA,"Not applicable. This only applies to securities that are traded same day but settled on following days. ICE Clear Europe does not have any trades that are novated trades but settle on a T+1, T+2, T+3 or further basis","Not applicable. This only applies to securities that are traded same day but settled on following days. ICE Clear Europe does not have any trades that are novated trades but settle on a T+1, T+2, T+3 or further basis","Not applicable. This only applies to securities that are traded same day but settled on following days. ICE Clear Europe does not have any trades that are novated trades but settle on a T+1, T+2, T+3 or further basis","Not applicable. This only applies to securities that are traded same day but settled on following days. ICE Clear Europe does not have any trades that are novated trades but settle on a T+1, T+2, T+3 or further basis"
2017-09-29,DefaultFund,ICEU_CDS,OTC,EUR,,7129480203.91,,CDS,Index,
2017-09-29,DefaultFund,ICEU_CDS,OTC,EUR,,646075563.77,,CDS,Single Name,
2017-09-29,DefaultFund,ICEU_CDS,OTC,USD,,280684155.65,,CDS,Single Name,
