ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_4_3,4_4_6,4_4_7,4_4_10
2017-09-29,DefaultFund,ICEU_F&O,PeakDayAmountInPast12Months,USD,2123999121.92,80264645.00,2400000000.00,80264645.00
2017-09-29,DefaultFund,ICEU_F&O,MeanAverageOverPrevious12Months,USD,1279288748.38,11118381.47,1463582442.70,11973641.58
2017-09-29,DefaultFund,ICEU_CDS,PeakDayAmountInPast12Months,EUR,122306464.61,0.00,132223397.00,0.00
2017-09-29,DefaultFund,ICEU_CDS,MeanAverageOverPrevious12Months,EUR,31145860.88,0.00,39763128.54,0.00
