ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_4_3,4_4_6,4_4_7,4_4_10
2017-09-29,DefaultFund,ICNL_F&O,PeakDayAmountInPast12Months,EUR,15604102.00,0.00,15604102.00,0.00
2017-09-29,DefaultFund,ICNL_F&O,MeanAverageOverPrevious12Months,EUR,2221840.00,0.00,2221840.00,0.00
