ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4.4.3,4.4.6,4.4.7,4.4.10
2016-03-31,DefaultFund,ICEU_CDS,PeakDayAmountInPast9Months,EUR,128498303.01,1305217.00,141637422.00,1305217.00
2016-03-31,DefaultFund,ICEU_CDS,MeanAverageOverPrevious9Months,EUR,44453274.16,1305217.00,57045266.97,1305217.00
