ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6.1.1
2016-03-31,CCP,LMEC_1,Client_Net,USD,3716189044.00
2016-03-31,CCP,LMEC_1,House_Net,USD,4169292574.00
2016-03-31,CCP,LMEC_1,Total,USD,7885481618.00
