ReportDate,ReportLevel,ReportLevelIdentifier,Description,18.2.1,18.2.2,18.2.3,18.3.1,18.3.2,18.3.3
2016-03-31,DefaultFund,ICEU_F&O,AverageInQuarter,NA,29.99%,51.64%,NA,37.70%,58.78%
2016-03-31,DefaultFund,ICEU_F&O,PeakInQuarter,NA,28.88%,50.03%,NA,39.41%,60.96%
