ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,7.1.2,7.1.3,7.1.4,7.1.5,7.1.6,7.1.7,7.1.8,7.1.9
2016-03-31,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,EUR,,0.00,3980096717.00,26759468.27,1000000000.00,0.00,2381241819.00,0.00
2016-03-31,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,GBP,,0.00,5928053442.00,27887453.57,1000000000.00,0.00,1107659431.00,0.00
2016-03-31,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,USD,,0.00,10156704089.00,32540450.44,1000000000.00,0.00,7227412925.00,0.00
