ReportDate,ReportLevel,ReportLevelIdentifier,Description,18.2.1,18.2.2,18.2.3,18.3.1,18.3.2,18.3.3,,,
2016-03-31,CCP,LMEC_1,AverageInQuarter,,38.70%,55.41%,,37.02%,59.54%,,,
2016-03-31,CCP,LMEC_1,PeakInQuarter,,44.60%,63.67%,,38.75%,60.76%,,,
