ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,7.3.1,7.3.4,7.3.5
31/03/2016,CCP,LMEC_1,SameDayPayment_Total,USD,1000000000,1594845153,1000000000
31/03/2016,CCP,LMEC_1,IntraDayPayment_Total,USD,,,
31/03/2016,CCP,LMEC_1,MultiDayPayment_Total,USD,1404000000,,1404000000
31/03/2016,CCP,LMEC_1,SameDayPayment,USD,1000000000,1594845153,1000000000
31/03/2016,CCP,LMEC_1,IntraDayPayment,USD,,,
31/03/2016,CCP,LMEC_1,MultiDayPayment,USD,1404000000,,1404000000
