ReportDate,ReportLevel,ReportLevelIdentifier,Description,18.2.1,18.2.2,18.2.3,18.3.1,18.3.2,18.3.3
2016-03-31,DefaultFund,ICEU_CDS,AverageInQuarter,50.61%,NA,NA,49.05%,NA,NA
2016-03-31,DefaultFund,ICEU_CDS,PeakInQuarter,51.25%,NA,NA,53.05%,NA,NA
