ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_3_1,4_3_2,4_3_3,4_3_4,4_3_5,4_3_6,4_3_7,4_3_8,4_3_9,4_3_10,4_3_11,4_3_12,4_3_13,4_3_14,4_3_15
2017-03-31,DefaultFund,ICEU_F&O,PreHaircut,USD,,0.00,1748618957.85,1031294.10,0.00,226353861.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1976004113.32
2017-03-31,DefaultFund,ICEU_F&O,PostHaircut,USD,,0.00,1748618957.85,1031294.10,0.00,219580778.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1969231030.57
2017-03-31,DefaultFund,ICEU_CDS,PreHaircut,EUR,,0.00,835826031.55,2230750.62,0.00,20742795.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,858799578.01
2017-03-31,DefaultFund,ICEU_CDS,PostHaircut,EUR,,0.00,825546330.55,2224687.90,0.00,20101919.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,847872938.29

