ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_3_1,4_3_2,4_3_3,4_3_4,4_3_5,4_3_6,4_3_7,4_3_8,4_3_9,4_3_10,4_3_11,4_3_12,4_3_13,4_3_14,4_3_15
2016-09-30,DefaultFund,ICEU_F&O,PreHaircut,USD,,0.00,1426833790.02,3548246.40,0.00,240650311.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1671032347.90
2016-09-30,DefaultFund,ICEU_F&O,PostHaircut,USD,,0.00,1426833790.02,3548246.40,0.00,232875440.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1663257476.93

