ReportDate,ReportLevel,ReportLevelIdentifier,Description,18_2_1,18_2_2,18_2_3,18_3_1,18_3_2,18_3_3
2016-09-30,DefaultFund,ICEU_CDS,AverageInQuarter,50.80%,NA,NA,48.56%,NA,NA
2016-09-30,DefaultFund,ICEU_CDS,PeakInQuarter,51.21%,NA,NA,52.33%,NA,NA
