ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6_1_1
2016-09-30,DefaultFund,ICNL_F&O,House_Net,EUR,19907812.00
2016-09-30,DefaultFund,ICNL_F&O,Client_Gross,EUR,0.00
2016-09-30,DefaultFund,ICNL_F&O,Client_Net,EUR,141681088.00
2016-09-30,DefaultFund,ICNL_F&O,Total,EUR,161588900.00
