ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_4_3,4_4_6,4_4_7,4_4_10
2016-09-30,DefaultFund,ICEU_F&O,PeakDayAmountInPast12Months,USD,1182722775.00,16577619.00,1822897038.00,17023716.93
2016-09-30,DefaultFund,ICEU_F&O,MeanAverageOverPrevious12Months,USD,797275743.00,2266443.00,1158394884.00,3319186.73
