ReportDate,ReportLevel,ReportLevelIdentifier,Description,16.2.8,16.2.15
30/09/2016,CCP,LMEC_1,Percentage_USD,90.59%,4.91%
30/09/2016,CCP,LMEC_1,Percentage_EUR,7.81%,0.00%
30/09/2016,CCP,LMEC_1,Percentage_GBP,1.33%,0.00%
30/09/2016,CCP,LMEC_1,Percentage_JPY,0.27%,0.00%
30/09/2016,CCP,LMEC_1,Percentage_CNH,0.00%,0.00%
