ReportDate,ReportLevel,ReportLevelIdentifier,Description,18.2.1,18.2.2,18.2.3,18.3.1,18.3.2,18.3.3
30/09/2016,CCP,LMEC_1,AverageInQuarter,,45.43%,64.57%,,38.04%,59.43%
30/09/2016,CCP,LMEC_1,PeakInQuarter,,46.38%,65.46%,,39.14%,60.78%
