ReportDate,ReportLevel,ReportLevelIdentifier,Description,18_2_1,18_2_2,18_2_3,18_3_1,18_3_2,18_3_3
2016-09-30,DefaultFund,ICEU_F&O,AverageInQuarter,NA,28.89%,51.11%,NA,36.06%,55.45%
2016-09-30,DefaultFund,ICEU_F&O,PeakInQuarter,NA,29.25%,51.67%,NA,37.58%,56.93%
