ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6_1_1
2016-09-30,Default Fund,ICEU_F&O,House_Net,USD,7002423975.73
2016-09-30,Default Fund,ICEU_F&O,Client_Gross,USD,26267498013.35
2016-09-30,Default Fund,ICEU_F&O,Client_Net,USD,6655519454.82
2016-09-30,Default Fund,ICEU_F&O,Total,USD,39925441443.90
