ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4.4.3,4.4.6,4.4.7,4.4.10
2015-12-31,CCP,ICNL_F&O,PeakDayAmountInPast12Months,EUR,44974857.00,0.00,52348239.00,0.00
2015-12-31,CCP,ICNL_F&O,MeanAverageOverPrevious12Months,EUR ,3872976.00,0.00,11618929.00,0.00
