ReportDate,ReportLevel,ReportLevelIdentifier,Description,16.2.8,16.2.15
2015-12-31,DefaultFund,ICEU_F&O,Percentage_EUR,19.73%,8.83%
2015-12-31,DefaultFund,ICEU_F&O,Percentage_USD,38.81%,16.11%
2015-12-31,DefaultFund,ICEU_F&O,Percentage_GBP,14.58%,1.93%
