ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4.4.3,4.4.6,4.4.7,4.4.10
2015-12-31,CCP,LMEC_1,PeakDayAmountInPast12Months,USD,348513927.00,0.00,594969438.50,0.00
2015-12-31,CCP,LMEC_1,MeanAverageOverPrevious12Months,USD,98796481.00,0.00,161003253.00,0.00
