ReportDate,ReportLevel,ReportLevelIdentifier,Description,18.2.1,18.2.2,18.2.3,18.3.1,18.3.2,18.3.3
2015-12-31,DefaultFund,ICEU_CDS,AverageInQuarter,51.11%,NA,NA,48.89%,NA,NA
2015-12-31,DefaultFund,ICEU_CDS,PeakInQuarter,51.35%,NA,NA,54.52%,NA,NA
