ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,7.3.1,7.3.4,7.3.5
2015-12-31,DefaultFund,ICEU_CDS,SameDayPayment_Total,EUR,0.00,41997859.67,0.00
2015-12-31,CCP,ICEU,SameDayPayment_Total,USD,2816243841.00,0.00,2096422287.00
2015-12-31,CCP,ICEU,SameDayPayment_Total,EUR,0.00,0.00,2088664238.00
2015-12-31,CCP,ICEU,SameDayPayment_Total,GBP,0.00,0.00,1207141011.00
