ReportDate,ReportLevel,ReportLevelIdentifier,Description,18.2.1,18.2.2,18.2.3,18.3.1,18.3.2,18.3.3,,,
2015-12-31,CCP,LMEC_1,AverageInQuarter,,44.45%,64.04%,,39.81%,59.22%,,,
2015-12-31,CCP,LMEC_1,PeakInQuarter,,45.22%,64.33%,,40.68%,60.37%,,,
