ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_3_1,4_3_2,4_3_3,4_3_4,4_3_5,4_3_6,4_3_7,4_3_8,4_3_9,4_3_10,4_3_11,4_3_12,4_3_13,4_3_14,4_3_15
2017-12-29,Default Fund,ICEU_F&O,PreHaircut,USD,,0.00,2074696454.47,1115866.98,0.00,305040411.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2380852733.34
2017-12-29,Default Fund,ICEU_F&O,PostHaircut,USD,,0.00,2074696454.47,1115866.98,0.00,295344219.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2371156541.03
2017-12-29,Default Fund,ICEU_CDS,PreHaircut,EUR,,0.00,799620705.23,1505455.56,0.00,22469155.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,823595316.67
2017-12-29,Default Fund,ICEU_CDS,PostHaircut,EUR,,0.00,789675730.49,1500106.69,0.00,21616636.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,812792473.20
