ReportDate,ReportLevel,ReportLevelIdentifier,Description,16.2.8,16.2.15
2016-03-31,DefaultFund,ICEU_F&O,Percentage_USD,37.87%,17.61%
2016-03-31,DefaultFund,ICEU_F&O,Percentage_GBP,18.75%,3.48%
2016-03-31,DefaultFund,ICEU_F&O,Percentage_EUR,15.12%,7.16%
