ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,23.1.1,23.1.2,23.2.1,23.2.2,23.2.3,23.2.4
2016-03-31,CCP,LMEC_1,ETD Forward,USD,1213300,73210817837.00,101074165955.80,Commodity,Forward,"AAD, AHD, CAD, COD, MOD, NAD, NID, PBD, SND, ZSD"
2016-03-31,CCP,LMEC_1,ETD Option,USD,53854,82464017.60,346702992.79,Commodity,Option,"AHD, CAD, NAD, NID, PBD, SND, ZSD"
2016-03-31,CCP,LMEC_1,ETD Forward,EUR,3536,222741856.90,1379925550.05,Commodity,Forward,"AAE, AHE, CAE, NAE, NIE, PBE, SNE, ZSE"
2016-03-31,CCP,LMEC_1,ETD Forward,JPY,1495,89153590.49,433207612.28,Commodity,Forward,"AHY, CAY, NIY, PBY, SNY, ZSY"
2016-03-31,CCP,LMEC_1,ETD TAPO,USD,866,1018805.26,23087402.30,Commodity,TAPO,"AHD, CAD, NID, PBD, ZSD"
2016-03-31,CCP,LMEC_1,ETD Swap,USD,721,36765285.49,217797140.69,Commodity,Swap,"OAD, OCD, OND, OPD, OSD, OZD"
2016-03-31,CCP,LMEC_1,ETD Forward,GBP,74,6110749.44,78757755.74,Commodity,Forward,"AHS, CAS, NAS, NIS, PBS, SNS, ZSS"
2016-03-31,CCP,LMEC_1,ETD Future,USD,124,275280.00,144640.00,Commodity,Future,"SCD, SRD"
