ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6.2.1,6.2.2,6.2.3,6.2.4,6.2.5,6.2.6,6.2.7,6.2.8,6.2.9,6.2.10,6.2.11,6.2.12,6.2.13,6.2.14,6.2.15
2016-03-31,CCP,LMEC_1,HouseIM_PreHaircut,USD,0.00,0.00,4115223924.93,439263.37,958625983.51,0.00,0.00,0.00,0.00,0.00,0.00,86760224.01,0.00,0.00,4169292574.00
2016-03-31,CCP,LMEC_1,HouseIM_PostHaircut,USD,0.00,0.00,4251026314.45,439263.37,919476666.95,0.00,0.00,0.00,0.00,0.00,0.00,63680454.47,0.00,0.00,4169292574.00
2016-03-31,CCP,LMEC_1,ClientIM_PreHaircut,USD,0.00,0.00,3667996378.76,391525.83,854446003.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3716189044.00
2016-03-31,CCP,LMEC_1,ClientIM_PostHaircut,USD,0.00,0.00,3789040259.26,391525.83,819551292.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3716189044.00
2016-03-31,CCP,LMEC_1,TotalIM_PreHaircut,USD,0.00,0.00,7783220303.69,830789.20,1813071987.00,0.00,0.00,0.00,0.00,0.00,0.00,86760224.01,0.00,0.00,
2016-03-31,CCP,LMEC_1,TotalIM_PostHaircut,USD,0.00,0.00,8040066573.71,830789.20,1739027959.00,0.00,0.00,0.00,0.00,0.00,0.00,63680454.47,0.00,0.00,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
