ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6_2_1,6_2_2,6_2_3,6_2_4,6_2_5,6_2_6,6_2_7,6_2_8,6_2_9,6_2_10,6_2_11,6_2_12,6_2_13,6_2_14,6_2_15
2016-12-30,DefaultFund,ICEU_F&O,HouseIM_PreHaircut,USD,,0.00,2698678002.68,2029696.61,424214235.59,4261689805.74,48035884.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7434647624.66
2016-12-30,DefaultFund,ICEU_F&O,HouseIM_PostHaircut,USD,,0.00,2614266971.04,1965865.37,388883501.06,4136188376.38,46619617.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7187924331.54
2016-12-30,DefaultFund,ICEU_F&O,ClientIM_PreHaircut,USD,,0.00,20250720522.19,31992642.28,1219259994.85,15842957556.46,914848.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,37345845563.90
2016-12-30,DefaultFund,ICEU_F&O,ClientIM_PostHaircut,USD,,0.00,19654462882.58,30246893.21,1133128625.66,15287024292.80,841660.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36105704354.52
2016-12-30,DefaultFund,ICEU_F&O,TotalIM_PreHaircut,USD,,0.00,22949398524.87,34022338.89,1643474230.44,20104647362.20,48950732.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,44780493188.56
2016-12-30,DefaultFund,ICEU_F&O,TotalIM_PostHaircut,USD,,0.00,22268729853.62,32212758.58,1522012126.72,19423212669.18,47461277.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43293628686.06
2016-12-30,DefaultFund,ICEU_CDS,HouseIM_PreHaircut,EUR,,0.00,3615403135.95,4908456.71,93305965.17,2450921374.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6164538932.40
2016-12-30,DefaultFund,ICEU_CDS,HouseIM_PostHaircut,EUR,,0.00,3537657612.11,4867038.12,85391348.36,2383029918.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6010945917.00
2016-12-30,DefaultFund,ICEU_CDS,ClientIM_PreHaircut,EUR,,0.00,238250286.54,331253.87,81660634.99,87661338.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,407903514.37
2016-12-30,DefaultFund,ICEU_CDS,ClientIM_PostHaircut,EUR,,0.00,234181040.12,330409.81,74740760.71,85252508.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,394504719.02
2016-12-30,DefaultFund,ICEU_CDS,TotalIM_PreHaircut,EUR,,0.00,3853653422.49,5239710.58,174966600.16,2538582713.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6572442446.77
2016-12-30,DefaultFund,ICEU_CDS,TotalIM_PostHaircut,EUR,,0.00,3771838652.23,5197447.93,160132109.07,2468282426.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6405450636.02
