ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6.2.1,6.2.2,6.2.3,6.2.4,6.2.5,6.2.6,6.2.7,6.2.8,6.2.9,6.2.10,6.2.11,6.2.12,6.2.13,6.2.14,6.2.15
2016-12-31,CCP,LMEC_1,HouseIM_PreHaircut,USD,0.00,0.00,2366932087.45,4334248.14,903901197.22,0.00,0.00,0.00,0.00,0.00,197478996.00,0.00,0.00,0.00,2374119499.00
2016-12-31,CCP,LMEC_1,HouseIM_PostHaircut,USD,0.00,0.00,2460495585.15,4334248.14,853161648.92,0.00,0.00,0.00,0.00,0.00,177928575.40,0.00,0.00,0.00,2374119499.00
2016-12-31,CCP,LMEC_1,ClientIM_PreHaircut,USD,0.00,0.00,6477238669.52,11860906.27,877208531.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6496907413.00
2016-12-31,CCP,LMEC_1,ClientIM_PostHaircut,USD,0.00,0.00,6733280280.78,11860906.27,843852591.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6496907413.00
2016-12-31,CCP,LMEC_1,TotalIM_PreHaircut,USD,0.00,0.00,8844170756.97,16195154.41,1781109728.27,0.00,0.00,0.00,0.00,0.00,197478996.00,0.00,0.00,0.00,
2016-12-31,CCP,LMEC_1,TotalIM_PostHaircut,USD,0.00,0.00,9193775865.93,16195154.41,1697014240.62,0.00,0.00,0.00,0.00,0.00,177928575.40,0.00,0.00,0.00,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
