ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,23.1.1,23.1.2,23.2.1,23.2.2,23.2.3,23.2.4,
2016-12-31,CCP,LMEC_1,ETD Forward,USD,1203975,86681638551.74,119689522927.11,Commodity,Forward,"AAD, AHD, CAD, COD, MOD, NAD, NID, PBD, SND, ZSD",
2016-12-31,CCP,LMEC_1,ETD Option,USD,62118,98673753.95,519415319.16,Commodity,Option,"AHD, CAD, NAD, NID, PBD, SND, ZSD",
2016-12-31,CCP,LMEC_1,ETD Forward,EUR,3275,236425464.94,1818954411.10,Commodity,Forward,"AAE, AHE, CAE, NAE, NIE, PBE, SNE, ZSE",
2016-12-31,CCP,LMEC_1,ETD Forward,JPY,1386,76294457.70,589180700.53,Commodity,Forward,"AHY, CAY, NIY, PBY, SNY, ZSY",
2016-12-31,CCP,LMEC_1,ETD TAPO,USD,2219,3867913.51,42669268.78,Commodity,TAPO,"AHD, CAD, NID, PBD, ZSD",
2016-12-31,CCP,LMEC_1,ETD Swap,USD,521,33394535.84,103215018.00,Commodity,Swap,"OAD, OCD, OND, OPD, OSD, OZD",
2016-12-31,CCP,LMEC_1,ETD Forward,GBP,76,6765977.56,107660858.50,Commodity,Forward,"AHS, CAS, NAS, NIS, PBS, SNS, ZSS",
2016-12-31,CCP,LMEC_1,ETD Future,USD,1035,2853788.52,7539865.00,Commodity,Future,"SCD, SRD",
