ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_4_5,4_4_9
2016-12-30,DefaultFund,ICEU_F&O,AmountExceeded,USD,0.00,0.00
2016-12-30,DefaultFund,ICEU_CDS,AmountExceeded,EUR,0.00,0.00
