ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6_2_1,6_2_2,6_2_3,6_2_4,6_2_5,6_2_6,6_2_7,6_2_8,6_2_9,6_2_10,6_2_11,6_2_12,6_2_13,6_2_14,6_2_15
2017-09-29,DefaultFund,ICEU_F&O,HouseIM_PreHaircut,USD,,78936943.50,1755719894.57,1262622.07,373521454.32,4685221410.80,49465584.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6944127909.50
2017-09-29,DefaultFund,ICEU_F&O,HouseIM_PostHaircut,USD,,75384781.04,1685491098.79,1257555.55,356724279.94,4523289295.02,48107013.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6690254023.82
2017-09-29,DefaultFund,ICEU_F&O,ClientIM_PreHaircut,USD,,516297136.65,14717935422.34,17907158.73,2058677953.46,15303593619.12,181009726.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32795421016.33
2017-09-29,DefaultFund,ICEU_F&O,ClientIM_PostHaircut,USD,,493063765.50,14129218005.44,16865703.85,1960602201.52,14803225637.02,175572174.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,31578547487.58
2017-09-29,DefaultFund,ICEU_F&O,TotalIM_PreHaircut,USD,,595234080.15,16473655316.91,19169780.80,2432199407.78,19988815029.92,230475310.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39739548925.83
2017-09-29,DefaultFund,ICEU_F&O,TotalIM_PostHaircut,USD,,568448546.55,15814709104.23,18123259.40,2317326481.46,19326514932.04,223679187.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38268801511.41
2017-09-29,DefaultFund,ICEU_CDS,HouseIM_PreHaircut,EUR,,702310963.18,1485971408.32,1280789.17,435869884.64,2646915104.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5272348149.33
2017-09-29,DefaultFund,ICEU_CDS,HouseIM_PostHaircut,EUR,,702310963.18,1456251980.16,1239592.60,415080734.14,2555045142.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5129928412.50
2017-09-29,DefaultFund,ICEU_CDS,ClientIM_PreHaircut,EUR,,94430981.58,604023388.41,220448.22,98888021.42,289393406.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1086956246.37
2017-09-29,DefaultFund,ICEU_CDS,ClientIM_PostHaircut,EUR,,94430981.58,597983154.52,219207.77,92976507.64,276332934.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1061942786.34
2017-09-29,DefaultFund,ICEU_CDS,TotalIM_PreHaircut,EUR,,796741944.76,2089994796.73,1501237.39,534757906.06,2936308510.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6359304395.70
2017-09-29,DefaultFund,ICEU_CDS,TotalIM_PostHaircut,EUR,,796741944.76,2054235134.68,1458800.37,508057241.78,2831378077.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6191871198.84

