ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4.4.5,4.4.9
2017-09-30,Default fund,LME,AmountExceeded,USD,0.00,0.00
2017-09-30,Default fund,LPM,AmountExceeded,USD,0.00,0.00
