ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,23.1.1,23.1.2,23.2.1,23.2.2,23.2.3,23.2.4,
2017-09-30,Default fund,LME,ETD Forward,USD,1244252,102891761769.84,136512914151.57,Commodity,Forward,"AAD, AHD, CAD, COD, MOD, NAD, NID, PBD, SND, ZSD",
2017-09-30,Default fund,LME,ETD Option,USD,64642,97343333.37,764061583.94,Commodity,Option,"AHD, CAD, NAD, NID, PBD, SND, ZSD",
2017-09-30,Default fund,LME,ETD Option,EUR,9,14476.11,13822.14,Commodity,Option,"AHD, CAD, NAD, NID, PBD, SND, ZSD",
2017-09-30,Default fund,LME,ETD Forward,EUR,2854,259346439.94,1898640938.39,Commodity,Forward,"AAE, AHE, CAE, NAE, NIE, PBE, SNE, ZSE",
2017-09-30,Default fund,LME,ETD Forward,JPY,1340,95291451.51,679949340.25,Commodity,Forward,"AHY, CAY, NIY, PBY, SNY, ZSY",
2017-09-30,Default fund,LME,ETD TAPO,USD,1224,2390790.29,109163624.66,Commodity,TAPO,"AHD, CAD, NID, PBD, ZSD",
2017-09-30,Default fund,LME,ETD Swap,USD,257,23168448.77,75345570.48,Commodity,Swap,"OAD, OCD, OND, OPD, OSD, OZD",
2017-09-30,Default fund,LME,ETD Forward,GBP,82,9485692.23,82431985.59,Commodity,Forward,"AHS, CAS, NAS, NIS, PBS, SNS, ZSS",
2017-09-30,Default fund,LME,ETD Future,USD,3366,12153450.00,20310010.00,Commodity,Future,"SCD, SRD",
2017-09-30,Default fund,LPM,ETD Future,USD,13850,1727887704.34,3216930110.00,Commodity,Future,"AUD,AGD",
