ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6_1_1
2017-09-29,DefaultFund,ICNL_F&O,House_Net,EUR,0.00
2017-09-29,DefaultFund,ICNL_F&O,Client_Gross,EUR,0.00
2017-09-29,DefaultFund,ICNL_F&O,Client_Net,EUR,0.00
2017-09-29,DefaultFund,ICNL_F&O,Total,EUR,0.00
