ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,7_1_2,7_1_3,7_1_4,7_1_5,7_1_6,7_1_7,7_1_8,7_1_9
2017-06-30,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,USD,,0.00,6672321564.21,5452190.03,1000000000.00,0.00,4384166273.56,0.00
2017-06-30,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,GBP,,0.00,4833694300.79,104626.28,1000000000.00,0.00,2909593314.85,0.00
2017-06-30,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,EUR,,0.00,4060763049.65,2310211.48,1000000000.00,0.00,2674865803.39,0.00


