ReportDate,ReportLevel,ReportLevelIdentifier,Description,7_3_6
2017-06-30,CCP,ICEU,NumberOfDays_USD,0
2017-06-30,CCP,ICEU,NumberOfDays_EUR,0
2017-06-30,CCP,ICEU,NumberOfDays_GBP,0
