ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,23.1.1,23.1.2,23.2.1,23.2.2,23.2.3,23.2.4,
2017-06-30,CCP,LMEC_1,ETD Forward,USD,"1,117,529.00",84270765033.85,121721847479.76,Commodity,Forward,"AAD, AHD, CAD, COD, MOD, NAD, NID, PBD, SND, ZSD",
2017-06-30,CCP,LMEC_1,ETD Option,USD,"50,706.00",62885699.37,428640681.80,Commodity,Option,"AHD, CAD, NAD, NID, PBD, SND, ZSD",
2017-06-30,CCP,LMEC_1,ETD Forward,EUR,"2,671.00",214877287.31,1461044998.76,Commodity,Forward,"AAE, AHE, CAE, NAE, NIE, PBE, SNE, ZSE",
2017-06-30,CCP,LMEC_1,ETD Forward,JPY,"1,565.00",109212105.10,700112725.59,Commodity,Forward,"AHY, CAY, NIY, PBY, SNY, ZSY",
2017-06-30,CCP,LMEC_1,ETD TAPO,USD,128.00,525682.00,54585328.70,Commodity,TAPO,"AHD, CAD, NID, PBD, ZSD",
2017-06-30,CCP,LMEC_1,ETD Swap,USD,195.00,16340581.52,65535312.75,Commodity,Swap,"OAD, OCD, OND, OPD, OSD, OZD",
2017-06-30,CCP,LMEC_1,ETD Forward,GBP,86.00,8397768.88,109215894.65,Commodity,Forward,"AHS, CAS, NAS, NIS, PBS, SNS, ZSS",
2017-06-30,CCP,LMEC_1,ETD Future,USD,"2,213.00",6736956.51,16067535.00,Commodity,Future,"SCD, SRD",
