ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4.4.3,4.4.6,4.4.7,4.4.10
2017-06-30,CCP,LMEC_1,PeakDayAmountInPast12Months,USD,376343725.00,27009.00,544385963.00,27009.00
2017-06-30,CCP,LMEC_1,MeanAverageOverPrevious12Months,USD,236655291.48,13579.50,366305717.34,13579.50
