ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,7_1_2,7_1_3,7_1_4,7_1_5,7_1_6,7_1_7,7_1_8,7_1_9
2016-12-30,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,USD,,0.00,9767999660.97,549770.18,1000000000.00,0.00,5696460389.76,0.00
2016-12-30,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,GBP,,0.00,2512878847.00,136969.35,1000000000.00,0.00,4154600319.25,0.00
2016-12-30,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,EUR,,0.00,2694672872.07,17122876.82,1000000000.00,0.00,5580091636.52,0.00


