ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,23_1_1,23_1_2,23_2_1,23_2_2,23_2_3,23_2_4
2016-12-30,DefaultFund,ICEU_F&O,Derivatives,USD,"ADV, OI and volume data is already produced for ICEU F&O contracts and can be found here: https://www.theice.com/marketdata/reports/176 .  Additionally we will provide a link to our product specifications https://www.theice.com/products",NA,"Not applicable. This only applies to securities that are traded same day but settled on following days. ICE Clear Europe does not have any trades that are novated trades but settle on a T+1, T+2, T+3 or further basis","Not applicable. This only applies to securities that are traded same day but settled on following days. ICE Clear Europe does not have any trades that are novated trades but settle on a T+1, T+2, T+3 or further basis","Not applicable. This only applies to securities that are traded same day but settled on following days. ICE Clear Europe does not have any trades that are novated trades but settle on a T+1, T+2, T+3 or further basis","Not applicable. This only applies to securities that are traded same day but settled on following days. ICE Clear Europe does not have any trades that are novated trades but settle on a T+1, T+2, T+3 or further basis"
2016-12-30,DefaultFund,ICEU_CDS,OTC,EUR,,5270712974.08,,CDS,Index,
2016-12-30,DefaultFund,ICEU_CDS,OTC,EUR,,1560223399.79,,CDS,Single Name,
2016-12-30,DefaultFund,ICEU_CDS,OTC,USD,,432668811.44,,CDS,Single Name,
