ReportDate,ReportLevel,ReportLevelIdentifier,Description,18_2_1,18_2_2,18_2_3,18_3_1,18_3_2,18_3_3
2016-12-30,DefaultFund,ICEU_F&O,AverageInQuarter,,29.19%,51.69%,,35.50%,54.49%
2016-12-30,DefaultFund,ICEU_F&O,PeakInQuarter,,30.95%,53.61%,,37.60%,55.88%
2016-12-30,DefaultFund,ICEU_CDS,AverageInQuarter,51.32%,,,47.01%,,
2016-12-30,DefaultFund,ICEU_CDS,PeakInQuarter,51.98%,,,50.71%,,
