ReportDate,ReportLevel,ReportLevelIdentifier,Description,18.2.1,18.2.2,18.2.3,18.3.1,18.3.2,18.3.3,,,
2016-12-31,CCP,LMEC_1,AverageInQuarter,,44.57%,64.22%,,37.93%,59.26%,,,
2016-12-31,CCP,LMEC_1,PeakInQuarter,,45.27%,65.15%,,39.14%,60.78%,,,
