ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_4_3,4_4_6,4_4_7,4_4_10
2016-12-30,DefaultFund,ICNL_F&O,PeakDayAmountInPast12Months,EUR,33717017.00,0.00,33717017.00,0.00
2016-12-30,DefaultFund,ICNL_F&O,MeanAverageOverPrevious12Months,EUR,4603038.00,0.00,4603038.00,0.00
