ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4.3.1,4.3.2,4.3.3,4.3.4,4.3.5,4.3.6,4.3.7,4.3.8,4.3.9,4.3.10,4.3.11,4.3.12,4.3.13,4.3.14,4.3.15
2018-06-30,Default fund,LME,PreHaircut,USD,0.00,0.00," 1,222,252,539.05 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,222,252,539.05"
2018-06-30,Default fund,LME,PostHaircut,USD,0.00,0.00," 1,273,273,044.01 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,273,273,044.01"
2018-06-30,Default fund,LPM,PreHaircut,USD,0.00,0.00," 257,650,100.99 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"257,650,100.99"
2018-06-30,Default fund,LPM,PostHaircut,USD,0.00,0.00," 268,405,192.73 ",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"268,405,192.73"
