ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_4_3,4_4_6,4_4_7,4_4_10
2018-06-29,DefaultFund,ICNL_F&O,PeakDayAmountInPast12Months,EUR,0.00,0.00,0.00,0.00
2018-06-29,DefaultFund,ICNL_F&O,MeanAverageOverPrevious12Months,EUR,0.00,0.00,0.00,0.00
