ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6.2.1,6.2.2,6.2.3,6.2.4,6.2.5,6.2.6,6.2.7,6.2.8,6.2.9,6.2.10,6.2.11,6.2.12,6.2.13,6.2.14,6.2.15,,
2018-06-30,CCP,LMEC_1,HouseIM_PreHaircut,USD,0.00,0.00," 2,060,584,509.49 "," 8,097,681.92 "," 1,153,025,234.93 ",0.00,0.00,0.00,0.00,0.00," 121,728,420.00 "," 86,158,568.92 ",0.00,0.00," 2,068,682,191.41 ",,
2018-06-30,CCP,LMEC_1,HouseIM_PostHaircut,USD,0.00,0.00," 2,139,035,803.36 "," 8,097,681.92 "," 1,077,564,589.84 ",0.00,0.00,0.00,0.00,0.00," 110,407,676.94 "," 50,868,233.14 ",0.00,0.00," 2,147,133,485.27 ",,
2018-06-30,CCP,LMEC_1,ClientIM_PreHaircut,USD,0.00,0.00," 5,563,107,448.98 "," 21,861,891.31 "," 175,831,778.49 ",0.00,0.00,0.00,0.00,0.00," 458,360,100.00 "," 40,009,189.17 ",0.00,0.00," 5,584,969,340.29 ",,
2018-06-30,CCP,LMEC_1,ClientIM_PostHaircut,USD,0.00,0.00," 5,774,908,020.74 "," 21,861,891.31 "," 162,884,209.48 ",0.00,0.00,0.00,0.00,0.00," 415,732,610.70 "," 34,834,507.51 ",0.00,0.00," 5,796,769,912.05 ",,
2018-06-30,CCP,LMEC_1,TotalIM_PreHaircut,USD,0.00,0.00," 7,623,691,958.47 "," 29,959,573.23 "," 1,328,857,013.42 ",0.00,0.00,0.00,0.00,0.00," 580,088,520.00 "," 126,167,758.09 ",0.00,0.00," 7,653,651,531.70 ",,
2018-06-30,CCP,LMEC_1,TotalIM_PostHaircut,USD,0.00,0.00," 7,913,943,824.10 "," 29,959,573.23 "," 1,240,448,799.32 ",0.00,0.00,0.00,0.00,0.00," 526,140,287.64 "," 85,702,740.65 ",0.00,0.00," 7,943,903,397.33 ",,
