ReportDate,ReportLevel,ReportLevelIdentifier,Description,16_2_8,16_2_15
2018-06-29,Default Fund,ICEU_F&O,Percentage_EUR,21.72%,4.41%
2018-06-29,Default Fund,ICEU_F&O,Percentage_GBP,25.46%,2.29%
2018-06-29,Default Fund,ICEU_F&O,Percentage_USD,31.69%,14.44%
2018-06-29,Default Fund,ICEU_CDS,Percentage_EUR,21.72%,4.41%
2018-06-29,Default Fund,ICEU_CDS,Percentage_GBP,25.46%,2.29%
2018-06-29,Default Fund,ICEU_CDS,Percentage_USD,31.69%,14.44%
