ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,7.1.2,7.1.3,7.1.4,7.1.5,7.1.6,7.1.7,7.1.8,7.1.9
2016-06-30,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,EUR,,0.00,3345910114.27,28398324.96,1000000000.00,0.00,2547386812.63,0.00
2016-06-30,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,GBP,,0.00,5498501074.11,29825470.04,1000000000.00,0.00,2030596452.16,0.00
2016-06-30,CCP,ICEU,SizeAndCompositionOfQualifyingLiquidResources,USD,,0.00,8614634608.00,27527490.84,1000000000.00,0.00,5619338538.52,0.00
