ReportDate,ReportLevel,ReportLevelIdentifier,Description,18.2.1,18.2.2,18.2.3,18.3.1,18.3.2,18.3.3
2016-06-30,DefaultFund,ICEU_F&O,AverageInQuarter,NA,28.78%,51.16%,NA,38.03%,57.72%
2016-06-30,DefaultFund,ICEU_F&O,PeakInQuarter,NA,29.82%,51.56%,NA,40.62%,60.14%
