ReportDate,ReportLevel,ReportLevelIdentifier,Description,18.2.1,18.2.2,18.2.3,18.3.1,18.3.2,18.3.3
2016-06-30,DefaultFund,ICEU_CDS,AverageInQuarter,50.30%,NA,NA,52.14%,NA,NA
2016-06-30,DefaultFund,ICEU_CDS,PeakInQuarter,50.80%,NA,NA,55.27%,NA,NA
