ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4.4.3,4.4.6,4.4.7,4.4.10
2016-06-30,DefaultFund,ICEU_F&O,PeakDayAmountInPast9Months,USD,1185206043.00,16577619.00,1822897038.00,17023717.00
2016-06-30,DefaultFund,ICEU_F&O,MeanAverageOverPrevious9Months,USD,955594348.00,1658523.00,1360188214.00,2273646.00
