ReportDate,ReportLevel,ReportLevelIdentifier,Description,18.2.1,18.2.2,18.2.3,18.3.1,18.3.2,18.3.3,,,
2016-06-30,CCP,LMEC_1,AverageInQuarter,,45.89%,64.79%,,38.31%,60.14%,,,
2016-06-30,CCP,LMEC_1,PeakInQuarter,,46.73%,65.45%,,39.46%,61.64%,,,
