ReportDate,ReportLevel,ReportLevelIdentifier,Description,7.3.6
2016-06-30,CCP,ICEU,NumberOfDays_USD,0
2016-06-30,CCP,ICEU,NumberOfDays_EUR,0
2016-06-30,CCP,ICEU,NumberOfDays_GBP,0
