ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6.2.1,6.2.2,6.2.3,6.2.4,6.2.5,6.2.6,6.2.7,6.2.8,6.2.9,6.2.10,6.2.11,6.2.12,6.2.13,6.2.14,6.2.15
 2016-06-30,DefaultFund,ICEU_F&O,HouseIM_PreHaircut,USD,0.00,0.00,1795708875.95,6903173.43,693063425.93,4153801031.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6649476506.70
 2016-06-30,DefaultFund,ICEU_F&O,HouseIM_PostHaircut,USD,0.00,0.00,1730184292.42,6636761.52,629930200.65,4004058175.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6370809430.39
 2016-06-30,DefaultFund,ICEU_F&O,ClientIM_PreHaircut,USD,0.00,0.00,19285107756.60,61907381.31,1011579099.52,15604780977.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35963375214.78
 2016-06-30,DefaultFund,ICEU_F&O,ClientIM_PostHaircut,USD,0.00,0.00,18719308215.40,58939279.74,925348065.13,14912269574.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34615865135.21
 2016-06-30,DefaultFund,ICEU_F&O,TotalIM_PreHaircut,USD,0.00,0.00,21080816632.55,68810554.74,1704642525.45,19758582008.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
 2016-06-30,DefaultFund,ICEU_F&O,TotalIM_PostHaircut,USD,0.00,0.00,20449492507.82,65576041.26,1555278265.78,18916327750.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
