ReportDate,ReportLevel,ReportLevelIdentifier,Description,16.2.8,16.2.15
2016-06-30,DefaultFund,ICEU_CDS,Percentage_USD,36.70%,13.99%
2016-06-30,DefaultFund,ICEU_CDS,Percentage_GBP,19.74%,7.24%
2016-06-30,DefaultFund,ICEU_CDS,Percentage_EUR,13.24%,9.09%
