ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4.4.3,4.4.6,4.4.7,4.4.10
2016-06-30,DefaultFund,ICNL_F&O,PeakDayAmountInPast12Months,EUR,34548400.00,0.00,52348239.00,0.00
2016-06-30,DefaultFund,ICNL_F&O,MeanAverageOverPrevious12Months,EUR ,3780996.00,0.00,11342987.00,0.00
