ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6_2_1,6_2_2,6_2_3,6_2_4,6_2_5,6_2_6,6_2_7,6_2_8,6_2_9,6_2_10,6_2_11,6_2_12,6_2_13,6_2_14,6_2_15
2016-09-30,DefaultFund,ICEU_CDS,HouseIM_PreHaircut,EUR,,0.00,3192895759.91,4167671.42,124578965.80,2714623382.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6036265779.81
2016-09-30,DefaultFund,ICEU_CDS,HouseIM_PostHaircut,EUR,,0.00,3100746817.11,3938515.68,112172100.91,2593801278.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5810658712.57
2016-09-30,DefaultFund,ICEU_CDS,ClientIM_PreHaircut,EUR,,0.00,241554252.53,97034.74,86209452.88,54253143.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,382113883.62
2016-09-30,DefaultFund,ICEU_CDS,ClientIM_PostHaircut,EUR,,0.00,237715611.97,93487.85,77634574.89,51339831.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,366783505.73
2016-09-30,DefaultFund,ICEU_CDS,TotalIM_PreHaircut,EUR,,0.00,3434450012.44,4264706.16,210788418.68,2768876526.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2016-09-30,DefaultFund,ICEU_CDS,TotalIM_PostHaircut,EUR,,0.00,3338462429.08,4032003.53,189806675.80,2645141109.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
