ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,4_4_3,4_4_6,4_4_7,4_4_10
2016-09-30,DefaultFund,ICNL_F&O,PeakDayAmountInPast12Months,EUR,33717017.00,0.00,33717017.00,0.00
2016-09-30,DefaultFund,ICNL_F&O,MeanAverageOverPrevious12Months,EUR,7640514.00,0.00,7640514.00,0.00
